Vendedor,Departamento,Faturamento Realizado,Objetivo de Faturamento,Margem Realizada,Objetivo de Margem,Data
Gustavo Martins,Eletrônicos,6336.56,3902.4,0.28,0.19,2018-05-22
Beatriz Santos,Vestuário,410.2,1889.94,0.13,0.17,2018-05-22
Camila Lima,Vestuário,6220.01,3712.61,0.28,0.16,2018-05-22
Thiago Barbosa,Acessórios,1050.07,1034.37,0.7,0.58,2018-05-22
Letícia Ribeiro,Acessórios,207.58,1719.43,0.8,0.54,2018-05-22
Enzo Nascimento,Casa,7034.21,3203.09,0.43,0.25,2018-05-22
Guilherme Santos,Casa,2955.21,4496.34,0.37,0.3,2018-05-22
Vitória Ribeiro,Brinquedo,6293.96,2158.34,0.34,0.21,2018-05-22
Julia Araújo,Esportes,3723.05,4132.4,0.33,0.38,2018-05-22
Lucas Rodrigues,Esportes,2606.71,4631.7,0.23,0.3,2018-05-22
Thiago Carvalho,Esportes,3242.91,4300.45,0.31,0.38,2018-05-22
Mateus Barbosa,Eletrônicos,8070.57,3985.52,0.13,0.22,2018-05-22
Camila Carvalho,Casa,6961.83,6028.61,0.11,0.32,2018-05-22
Diego Cardoso,Vestuário,2226.99,3959.07,0.26,0.21,2018-05-22
Jorge Santos,Brinquedo,5608.03,3363.23,0.15,0.29,2018-05-22
Raphael Silva,Papelaria,686.09,568.46,0.56,0.5,2018-05-22
Caroline Reis,Papelaria,692.62,597.38,0.54,0.52,2018-05-22
Letícia Nascimento,Eletrônicos,4350.98,5069.16,0.22,0.24,2018-05-23
Ana Sousa,Eletrônicos,7244.76,4738.87,0.26,0.21,2018-05-23
Gustavo Martins,Eletrônicos,3747.82,2916.21,0.14,0.23,2018-05-23
Beatriz Santos,Vestuário,5240.62,2594.71,0.24,0.15,2018-05-23
Camila Lima,Vestuário,3052.87,3013.59,0.13,0.17,2018-05-23
Thiago Barbosa,Acessórios,1853.12,1456.76,0.78,0.56,2018-05-23
Letícia Ribeiro,Acessórios,853.6,1353.39,0.22,0.6,2018-05-23
Enzo Nascimento,Casa,6109.83,3379.24,0.14,0.26,2018-05-23
Guilherme Santos,Casa,4881.73,5562.5,0.26,0.28,2018-05-23
Vitória Ribeiro,Brinquedo,1109.76,2720.21,0.23,0.23,2018-05-23
Julia Araújo,Esportes,9249.15,3945.74,0.29,0.38,2018-05-23
Lucas Rodrigues,Esportes,4077.92,2861.46,0.47,0.35,2018-05-23
Thiago Carvalho,Esportes,7495.5,2901.93,0.2,0.26,2018-05-23
Mateus Barbosa,Eletrônicos,3426.17,1612.87,0.18,0.2,2018-05-23
Camila Carvalho,Casa,791.12,4426.96,0.15,0.23,2018-05-23
Diego Cardoso,Vestuário,4349.37,1052.77,0.08,0.15,2018-05-23
Jorge Santos,Brinquedo,6096.77,2115.98,0.32,0.2,2018-05-23
Raphael Silva,Papelaria,318.73,728.72,0.34,0.4,2018-05-23
Caroline Reis,Papelaria,1412.07,598.98,0.56,0.5,2018-05-23
Letícia Nascimento,Eletrônicos,2503.83,2434.37,0.22,0.17,2018-05-24
Ana Sousa,Eletrônicos,3351.52,3605.78,0.17,0.21,2018-05-24
Gustavo Martins,Eletrônicos,1148.53,3873.65,0.12,0.22,2018-05-24
Beatriz Santos,Vestuário,2773.91,1770.64,0.12,0.21,2018-05-24
Camila Lima,Vestuário,3543.88,2633.29,0.28,0.2,2018-05-24
Thiago Barbosa,Acessórios,790.98,1647.59,0.56,0.42,2018-05-24
Letícia Ribeiro,Acessórios,282.56,631.51,0.68,0.56,2018-05-24
Enzo Nascimento,Casa,5714.02,5725.4,0.43,0.33,2018-05-24
Guilherme Santos,Casa,6105.7,3317.65,0.25,0.26,2018-05-24
Vitória Ribeiro,Brinquedo,4199.25,1608.81,0.27,0.29,2018-05-24
Julia Araújo,Esportes,7717.05,3822.2,0.21,0.33,2018-05-24
Lucas Rodrigues,Esportes,8204.76,4329.77,0.48,0.3,2018-05-24
Thiago Carvalho,Esportes,1620.19,3578.9,0.29,0.33,2018-05-24
Mateus Barbosa,Eletrônicos,4193.97,2533.7,0.21,0.22,2018-05-24
Camila Carvalho,Casa,709.87,2665.62,0.37,0.3,2018-05-24
Diego Cardoso,Vestuário,5640.2,2400.44,0.1,0.2,2018-05-24
Jorge Santos,Brinquedo,7118.01,2999.0,0.34,0.24,2018-05-24
Raphael Silva,Papelaria,528.28,846.2,0.36,0.4,2018-05-24
Caroline Reis,Papelaria,622.02,627.48,0.25,0.52,2018-05-24
Letícia Nascimento,Eletrônicos,5670.63,2528.72,0.26,0.2,2018-05-25
Ana Sousa,Eletrônicos,5976.77,1888.59,0.31,0.22,2018-05-25
Gustavo Martins,Eletrônicos,6577.58,3250.17,0.3,0.22,2018-05-25
Beatriz Santos,Vestuário,5674.86,2553.71,0.24,0.2,2018-05-25
Camila Lima,Vestuário,617.75,1499.26,0.18,0.17,2018-05-25
Thiago Barbosa,Acessórios,517.4,1083.62,0.36,0.56,2018-05-25
Letícia Ribeiro,Acessórios,1129.01,1253.88,0.24,0.4,2018-05-25
Enzo Nascimento,Casa,3910.74,5568.58,0.37,0.29,2018-05-25
Guilherme Santos,Casa,8695.01,5962.25,0.23,0.24,2018-05-25
Vitória Ribeiro,Brinquedo,5390.42,1431.1,0.2,0.22,2018-05-25
Julia Araújo,Esportes,6244.36,1645.34,0.14,0.26,2018-05-25
Lucas Rodrigues,Esportes,876.2,5273.05,0.31,0.27,2018-05-25
Thiago Carvalho,Esportes,799.25,3983.16,0.44,0.29,2018-05-25
Mateus Barbosa,Eletrônicos,5955.72,3127.3,0.32,0.18,2018-05-25
Camila Carvalho,Casa,3763.45,3984.49,0.14,0.29,2018-05-25
Diego Cardoso,Vestuário,1519.7,2052.08,0.08,0.18,2018-05-25
Jorge Santos,Brinquedo,2727.62,4078.71,0.3,0.2,2018-05-25
Raphael Silva,Papelaria,185.78,433.38,0.34,0.43,2018-05-25
Caroline Reis,Papelaria,1210.06,849.9,0.23,0.4,2018-05-25
Letícia Nascimento,Eletrônicos,640.69,1503.43,0.25,0.17,2018-05-26
Ana Sousa,Eletrônicos,5750.22,3146.25,0.22,0.17,2018-05-26
Gustavo Martins,Eletrônicos,8167.97,2743.46,0.31,0.22,2018-05-26
Beatriz Santos,Vestuário,6428.21,1010.24,0.27,0.19,2018-05-26
Camila Lima,Vestuário,4540.85,3953.11,0.27,0.15,2018-05-26
Thiago Barbosa,Acessórios,650.31,1540.64,0.48,0.52,2018-05-26
Letícia Ribeiro,Acessórios,176.36,1550.73,0.72,0.42,2018-05-26
Enzo Nascimento,Casa,8841.8,2877.14,0.17,0.24,2018-05-26
Guilherme Santos,Casa,8310.59,6065.26,0.31,0.24,2018-05-26
Vitória Ribeiro,Brinquedo,6202.85,4232.68,0.3,0.23,2018-05-26
Julia Araújo,Esportes,9138.27,3214.34,0.21,0.31,2018-05-26
Lucas Rodrigues,Esportes,2632.33,4400.65,0.3,0.31,2018-05-26
Thiago Carvalho,Esportes,1730.19,4219.9,0.47,0.39,2018-05-26
Mateus Barbosa,Eletrônicos,2437.61,2671.9,0.26,0.22,2018-05-26
Camila Carvalho,Casa,8326.17,1925.59,0.39,0.3,2018-05-26
Diego Cardoso,Vestuário,312.47,3324.94,0.27,0.16,2018-05-26
Jorge Santos,Brinquedo,712.0,2142.24,0.17,0.21,2018-05-26
Raphael Silva,Papelaria,183.96,842.86,0.5,0.52,2018-05-26
Caroline Reis,Papelaria,1376.77,756.38,0.4,0.5,2018-05-26
Letícia Nascimento,Eletrônicos,1428.88,2928.68,0.26,0.22,2018-05-27
Ana Sousa,Eletrônicos,6076.25,2405.16,0.3,0.22,2018-05-27
Gustavo Martins,Eletrônicos,8552.12,3723.52,0.18,0.22,2018-05-27
Beatriz Santos,Vestuário,1738.63,2482.21,0.26,0.17,2018-05-27
Camila Lima,Vestuário,2118.69,2029.31,0.24,0.15,2018-05-27
Thiago Barbosa,Acessórios,921.4,1581.69,0.66,0.48,2018-05-27
Letícia Ribeiro,Acessórios,2513.85,1315.06,0.62,0.48,2018-05-27
Enzo Nascimento,Casa,1259.44,4907.56,0.28,0.32,2018-05-27
Guilherme Santos,Casa,8828.77,4952.93,0.17,0.31,2018-05-27
Vitória Ribeiro,Brinquedo,897.78,1482.17,0.27,0.28,2018-05-27
Julia Araújo,Esportes,1055.47,1668.17,0.51,0.26,2018-05-27
Lucas Rodrigues,Esportes,859.28,3571.64,0.44,0.3,2018-05-27
Thiago Carvalho,Esportes,8478.12,1610.35,0.2,0.33,2018-05-27
Mateus Barbosa,Eletrônicos,4775.74,4687.1,0.16,0.16,2018-05-27
Camila Carvalho,Casa,2843.73,2878.38,0.41,0.32,2018-05-27
Diego Cardoso,Vestuário,1879.68,1398.08,0.27,0.16,2018-05-27
Jorge Santos,Brinquedo,1147.55,2434.53,0.34,0.2,2018-05-27
Raphael Silva,Papelaria,782.5,681.98,0.63,0.38,2018-05-27
Caroline Reis,Papelaria,1176.07,370.04,0.54,0.49,2018-05-27
Letícia Nascimento,Eletrônicos,8406.89,4812.67,0.18,0.18,2018-05-28
Ana Sousa,Eletrônicos,5357.18,5256.06,0.09,0.17,2018-05-28
Gustavo Martins,Eletrônicos,684.76,4193.46,0.24,0.17,2018-05-28
Beatriz Santos,Vestuário,1063.87,3682.31,0.07,0.21,2018-05-28
Camila Lima,Vestuário,4283.5,1223.43,0.21,0.14,2018-05-28
Thiago Barbosa,Acessórios,1553.93,1630.21,0.34,0.48,2018-05-28
Letícia Ribeiro,Acessórios,1378.52,1326.64,0.34,0.54,2018-05-28
Enzo Nascimento,Casa,7914.78,3348.42,0.35,0.3,2018-05-28
Guilherme Santos,Casa,3257.07,2101.33,0.26,0.23,2018-05-28
Vitória Ribeiro,Brinquedo,395.07,3728.56,0.23,0.21,2018-05-28
Julia Araújo,Esportes,7759.21,3391.19,0.43,0.27,2018-05-28
Lucas Rodrigues,Esportes,6945.87,5207.67,0.13,0.31,2018-05-28
Thiago Carvalho,Esportes,4487.9,2504.3,0.33,0.39,2018-05-28
Mateus Barbosa,Eletrônicos,3210.45,3049.73,0.21,0.19,2018-05-28
Camila Carvalho,Casa,4930.82,5232.06,0.25,0.28,2018-05-28
Diego Cardoso,Vestuário,4464.16,2784.22,0.1,0.2,2018-05-28
Jorge Santos,Brinquedo,4013.7,1867.44,0.28,0.21,2018-05-28
Raphael Silva,Papelaria,314.24,847.45,0.5,0.4,2018-05-28
Caroline Reis,Papelaria,534.78,518.63,0.27,0.43,2018-05-28
Letícia Nascimento,Eletrônicos,4243.96,2199.3,0.18,0.22,2018-05-29
Ana Sousa,Eletrônicos,7835.26,2430.33,0.25,0.23,2018-05-29
Gustavo Martins,Eletrônicos,5866.38,1724.94,0.25,0.16,2018-05-29
Beatriz Santos,Vestuário,3863.63,3390.98,0.24,0.19,2018-05-29
Camila Lima,Vestuário,4085.02,3286.56,0.2,0.2,2018-05-29
Thiago Barbosa,Acessórios,2829.01,1152.14,0.26,0.54,2018-05-29
Letícia Ribeiro,Acessórios,515.8,1437.05,0.68,0.42,2018-05-29
Enzo Nascimento,Casa,2306.6,1983.69,0.11,0.29,2018-05-29
Guilherme Santos,Casa,558.43,3192.47,0.39,0.22,2018-05-29
Vitória Ribeiro,Brinquedo,620.44,2431.33,0.29,0.27,2018-05-29
Julia Araújo,Esportes,6878.65,3138.35,0.22,0.27,2018-05-29
Lucas Rodrigues,Esportes,8396.34,5407.16,0.38,0.38,2018-05-29
Thiago Carvalho,Esportes,5852.2,2794.39,0.29,0.38,2018-05-29
Mateus Barbosa,Eletrônicos,6501.61,3044.95,0.18,0.24,2018-05-29
Camila Carvalho,Casa,4170.88,5260.01,0.22,0.32,2018-05-29
Diego Cardoso,Vestuário,5952.89,3206.24,0.15,0.21,2018-05-29
Jorge Santos,Brinquedo,1061.93,2287.16,0.39,0.24,2018-05-29
Raphael Silva,Papelaria,711.4,831.25,0.61,0.47,2018-05-29
Caroline Reis,Papelaria,275.62,796.24,0.38,0.5,2018-05-29
Letícia Nascimento,Eletrônicos,8530.89,4938.28,0.18,0.18,2018-05-30
Ana Sousa,Eletrônicos,5315.97,3534.23,0.3,0.22,2018-05-30
Gustavo Martins,Eletrônicos,7083.54,4907.8,0.29,0.2,2018-05-30
Beatriz Santos,Vestuário,729.21,3485.23,0.26,0.18,2018-05-30
Camila Lima,Vestuário,1933.47,1338.27,0.08,0.15,2018-05-30
Thiago Barbosa,Acessórios,64.54,954.15,0.52,0.5,2018-05-30
Letícia Ribeiro,Acessórios,2838.38,1717.31,0.34,0.54,2018-05-30
Enzo Nascimento,Casa,8132.47,4143.68,0.43,0.31,2018-05-30
Guilherme Santos,Casa,2900.95,1826.33,0.34,0.25,2018-05-30
Vitória Ribeiro,Brinquedo,4693.75,2466.5,0.31,0.26,2018-05-30
Julia Araújo,Esportes,7949.73,4127.19,0.48,0.31,2018-05-30
Lucas Rodrigues,Esportes,5327.32,5072.72,0.22,0.31,2018-05-30
Thiago Carvalho,Esportes,7440.61,2651.05,0.31,0.34,2018-05-30
Mateus Barbosa,Eletrônicos,585.11,4608.16,0.15,0.21,2018-05-30
Camila Carvalho,Casa,2566.09,2754.15,0.11,0.28,2018-05-30
Diego Cardoso,Vestuário,3464.08,1060.09,0.24,0.17,2018-05-30
Jorge Santos,Brinquedo,2715.66,4392.7,0.1,0.29,2018-05-30
Raphael Silva,Papelaria,93.06,827.95,0.61,0.52,2018-05-30
Caroline Reis,Papelaria,192.05,631.3,0.68,0.41,2018-05-30
Letícia Nascimento,Eletrônicos,4291.7,2503.18,0.13,0.2,2018-05-31
Ana Sousa,Eletrônicos,6682.9,3466.08,0.12,0.18,2018-05-31
Gustavo Martins,Eletrônicos,3380.79,3341.66,0.2,0.22,2018-05-31
Beatriz Santos,Vestuário,2924.8,2013.09,0.12,0.14,2018-05-31
Camila Lima,Vestuário,4498.33,3847.31,0.15,0.16,2018-05-31
Thiago Barbosa,Acessórios,1090.38,514.03,0.32,0.44,2018-05-31
Letícia Ribeiro,Acessórios,1366.47,561.27,0.46,0.5,2018-05-31
Enzo Nascimento,Casa,6791.2,6068.97,0.22,0.3,2018-05-31
Guilherme Santos,Casa,1381.85,6083.25,0.32,0.3,2018-05-31
Vitória Ribeiro,Brinquedo,6288.23,3195.84,0.13,0.2,2018-05-31
Julia Araújo,Esportes,7001.25,4955.16,0.17,0.26,2018-05-31
Lucas Rodrigues,Esportes,6677.53,4968.46,0.33,0.34,2018-05-31
Thiago Carvalho,Esportes,549.69,2609.11,0.51,0.27,2018-05-31
Mateus Barbosa,Eletrônicos,3759.96,3710.68,0.28,0.18,2018-05-31
Camila Carvalho,Casa,7766.14,3724.44,0.34,0.23,2018-05-31
Diego Cardoso,Vestuário,5009.04,2658.42,0.26,0.18,2018-05-31
Jorge Santos,Brinquedo,3275.48,2786.06,0.35,0.22,2018-05-31
Raphael Silva,Papelaria,822.56,319.56,0.38,0.52,2018-05-31
Caroline Reis,Papelaria,872.23,467.81,0.22,0.43,2018-05-31
Letícia Nascimento,Eletrônicos,3622.21,1499.65,0.1,0.18,2018-06-01
Ana Sousa,Eletrônicos,7004.85,1807.46,0.19,0.21,2018-06-01
Gustavo Martins,Eletrônicos,2658.58,1662.74,0.23,0.2,2018-06-01
Beatriz Santos,Vestuário,5260.5,2675.46,0.26,0.17,2018-06-01
Camila Lima,Vestuário,1931.31,1553.39,0.13,0.21,2018-06-01
Thiago Barbosa,Acessórios,1034.64,1355.21,0.26,0.46,2018-06-01
Letícia Ribeiro,Acessórios,2127.78,855.95,0.78,0.6,2018-06-01
Enzo Nascimento,Casa,2933.33,5939.75,0.3,0.23,2018-06-01
Guilherme Santos,Casa,493.82,4048.89,0.22,0.23,2018-06-01
Vitória Ribeiro,Brinquedo,2190.7,3414.09,0.34,0.29,2018-06-01
Julia Araújo,Esportes,1152.68,3350.83,0.35,0.33,2018-06-01
Lucas Rodrigues,Esportes,3918.43,2409.26,0.51,0.36,2018-06-01
Thiago Carvalho,Esportes,1343.77,1463.61,0.2,0.36,2018-06-01
Mateus Barbosa,Eletrônicos,2183.45,2199.2,0.21,0.21,2018-06-01
Camila Carvalho,Casa,2534.0,4595.73,0.24,0.31,2018-06-01
Diego Cardoso,Vestuário,2166.54,2803.43,0.22,0.15,2018-06-01
Jorge Santos,Brinquedo,243.41,1119.03,0.33,0.22,2018-06-01
Raphael Silva,Papelaria,1198.4,825.16,0.68,0.43,2018-06-01
Caroline Reis,Papelaria,451.71,246.47,0.45,0.4,2018-06-01
Letícia Nascimento,Eletrônicos,516.75,1954.37,0.15,0.22,2018-06-02
Ana Sousa,Eletrônicos,5260.74,5091.36,0.13,0.2,2018-06-02
Gustavo Martins,Eletrônicos,3162.73,5165.05,0.2,0.2,2018-06-02
Beatriz Santos,Vestuário,5443.93,3290.65,0.27,0.15,2018-06-02
Camila Lima,Vestuário,1316.84,3527.7,0.19,0.14,2018-06-02
Thiago Barbosa,Acessórios,1761.25,1750.98,0.52,0.46,2018-06-02
Letícia Ribeiro,Acessórios,1455.96,1272.79,0.48,0.42,2018-06-02
Enzo Nascimento,Casa,6986.87,3370.32,0.14,0.29,2018-06-02
Guilherme Santos,Casa,6670.72,5588.34,0.33,0.32,2018-06-02
Vitória Ribeiro,Brinquedo,6023.26,2432.43,0.26,0.3,2018-06-02
Julia Araújo,Esportes,1755.71,4213.85,0.16,0.31,2018-06-02
Lucas Rodrigues,Esportes,8815.28,3091.12,0.13,0.36,2018-06-02
Thiago Carvalho,Esportes,8370.74,5091.6,0.33,0.38,2018-06-02
Mateus Barbosa,Eletrônicos,689.21,4911.24,0.2,0.16,2018-06-02
Camila Carvalho,Casa,7326.1,2295.05,0.17,0.3,2018-06-02
Diego Cardoso,Vestuário,2501.62,2485.63,0.08,0.17,2018-06-02
Jorge Santos,Brinquedo,657.05,2583.64,0.14,0.26,2018-06-02
Raphael Silva,Papelaria,167.61,623.36,0.61,0.54,2018-06-02
Caroline Reis,Papelaria,647.78,363.18,0.2,0.38,2018-06-02
Letícia Nascimento,Eletrônicos,1942.96,3532.7,0.08,0.2,2018-06-03
Ana Sousa,Eletrônicos,7318.3,4824.72,0.14,0.23,2018-06-03
Gustavo Martins,Eletrônicos,8462.72,3501.88,0.09,0.22,2018-06-03
Beatriz Santos,Vestuário,6090.67,3655.22,0.18,0.15,2018-06-03
Camila Lima,Vestuário,2748.31,3353.87,0.18,0.2,2018-06-03
Thiago Barbosa,Acessórios,1337.7,1411.82,0.28,0.42,2018-06-03
Letícia Ribeiro,Acessórios,332.69,532.72,0.8,0.54,2018-06-03
Enzo Nascimento,Casa,4332.93,3491.93,0.35,0.25,2018-06-03
Guilherme Santos,Casa,3328.69,4496.66,0.41,0.28,2018-06-03
Vitória Ribeiro,Brinquedo,4929.94,1834.48,0.11,0.25,2018-06-03
Julia Araújo,Esportes,5241.06,5041.59,0.21,0.33,2018-06-03
Lucas Rodrigues,Esportes,8586.33,4185.97,0.26,0.38,2018-06-03
Thiago Carvalho,Esportes,2370.29,1888.67,0.3,0.38,2018-06-03
Mateus Barbosa,Eletrônicos,4586.06,3286.1,0.15,0.23,2018-06-03
Camila Carvalho,Casa,3460.95,5950.64,0.28,0.33,2018-06-03
Diego Cardoso,Vestuário,738.89,2866.27,0.16,0.19,2018-06-03
Jorge Santos,Brinquedo,2121.61,1651.4,0.39,0.28,2018-06-03
Raphael Silva,Papelaria,964.79,475.88,0.25,0.45,2018-06-03
Caroline Reis,Papelaria,871.61,857.21,0.32,0.4,2018-06-03
Letícia Nascimento,Eletrônicos,1092.84,5185.09,0.12,0.18,2018-06-04
Ana Sousa,Eletrônicos,6955.85,2713.35,0.29,0.2,2018-06-04
Gustavo Martins,Eletrônicos,3817.91,1446.83,0.15,0.16,2018-06-04
Beatriz Santos,Vestuário,5869.09,2536.93,0.22,0.17,2018-06-04
Camila Lima,Vestuário,5783.49,3259.0,0.14,0.17,2018-06-04
Thiago Barbosa,Acessórios,1192.84,949.78,0.28,0.52,2018-06-04
Letícia Ribeiro,Acessórios,1416.07,1314.11,0.7,0.46,2018-06-04
Enzo Nascimento,Casa,1412.61,5711.68,0.33,0.25,2018-06-04
Guilherme Santos,Casa,2767.36,4137.44,0.25,0.28,2018-06-04
Vitória Ribeiro,Brinquedo,4413.12,2989.43,0.12,0.25,2018-06-04
Julia Araújo,Esportes,1403.48,4512.87,0.31,0.3,2018-06-04
Lucas Rodrigues,Esportes,4124.72,1530.69,0.25,0.36,2018-06-04
Thiago Carvalho,Esportes,1120.05,3646.91,0.3,0.38,2018-06-04
Mateus Barbosa,Eletrônicos,2122.02,2932.33,0.21,0.18,2018-06-04
Camila Carvalho,Casa,2507.27,2163.52,0.18,0.28,2018-06-04
Diego Cardoso,Vestuário,4859.44,2548.47,0.1,0.17,2018-06-04
Jorge Santos,Brinquedo,6315.83,2496.58,0.25,0.24,2018-06-04
Raphael Silva,Papelaria,816.45,809.67,0.7,0.38,2018-06-04
Caroline Reis,Papelaria,532.0,466.13,0.32,0.47,2018-06-04
Letícia Nascimento,Eletrônicos,4869.74,2556.14,0.2,0.23,2018-06-05
Ana Sousa,Eletrônicos,6103.62,4616.44,0.22,0.19,2018-06-05
Gustavo Martins,Eletrônicos,4208.29,3802.51,0.08,0.19,2018-06-05
Beatriz Santos,Vestuário,447.35,1219.14,0.24,0.17,2018-06-05
Camila Lima,Vestuário,1919.96,2149.37,0.24,0.18,2018-06-05
Thiago Barbosa,Acessórios,1270.5,815.86,0.66,0.52,2018-06-05
Letícia Ribeiro,Acessórios,2458.87,448.39,0.56,0.48,2018-06-05
Enzo Nascimento,Casa,3677.02,4616.95,0.4,0.25,2018-06-05
Guilherme Santos,Casa,9447.51,5861.98,0.19,0.23,2018-06-05
Vitória Ribeiro,Brinquedo,3461.48,2812.46,0.18,0.24,2018-06-05
Julia Araújo,Esportes,6142.19,5158.8,0.42,0.38,2018-06-05
Lucas Rodrigues,Esportes,6108.35,2100.4,0.45,0.38,2018-06-05
Thiago Carvalho,Esportes,3041.78,4953.56,0.18,0.35,2018-06-05
Mateus Barbosa,Eletrônicos,4788.54,3325.53,0.3,0.22,2018-06-05
Camila Carvalho,Casa,8285.48,1801.03,0.36,0.24,2018-06-05
Diego Cardoso,Vestuário,805.71,3935.8,0.15,0.2,2018-06-05
Jorge Santos,Brinquedo,2937.04,4025.88,0.11,0.24,2018-06-05
Raphael Silva,Papelaria,906.59,667.98,0.4,0.52,2018-06-05
Caroline Reis,Papelaria,1239.8,757.08,0.23,0.49,2018-06-05
Letícia Nascimento,Eletrônicos,2285.82,3851.75,0.17,0.24,2018-06-06
Ana Sousa,Eletrônicos,3585.8,2017.53,0.31,0.24,2018-06-06
Gustavo Martins,Eletrônicos,7806.3,2338.66,0.15,0.21,2018-06-06
Beatriz Santos,Vestuário,2054.13,2984.28,0.14,0.2,2018-06-06
Camila Lima,Vestuário,4373.46,3706.18,0.08,0.16,2018-06-06
Thiago Barbosa,Acessórios,592.44,1098.79,0.5,0.56,2018-06-06
Letícia Ribeiro,Acessórios,275.32,1754.68,0.2,0.5,2018-06-06
Enzo Nascimento,Casa,7072.59,5592.74,0.18,0.31,2018-06-06
Guilherme Santos,Casa,9058.83,4078.38,0.35,0.25,2018-06-06
Vitória Ribeiro,Brinquedo,4338.53,4070.87,0.25,0.23,2018-06-06
Julia Araújo,Esportes,8674.36,2233.49,0.23,0.27,2018-06-06
Lucas Rodrigues,Esportes,3310.76,2816.3,0.51,0.39,2018-06-06
Thiago Carvalho,Esportes,6901.76,5035.86,0.2,0.29,2018-06-06
Mateus Barbosa,Eletrônicos,6944.26,1711.92,0.3,0.18,2018-06-06
Camila Carvalho,Casa,2452.2,5745.54,0.19,0.33,2018-06-06
Diego Cardoso,Vestuário,962.97,3839.86,0.17,0.16,2018-06-06
Jorge Santos,Brinquedo,4646.45,2047.98,0.17,0.27,2018-06-06
Raphael Silva,Papelaria,230.25,683.47,0.36,0.45,2018-06-06
Caroline Reis,Papelaria,627.74,826.5,0.45,0.47,2018-06-06
Letícia Nascimento,Eletrônicos,2534.67,4121.17,0.15,0.23,2018-06-07
Ana Sousa,Eletrônicos,4135.9,3119.5,0.14,0.21,2018-06-07
Gustavo Martins,Eletrônicos,3469.53,2404.83,0.23,0.18,2018-06-07
Beatriz Santos,Vestuário,5600.09,3184.08,0.17,0.19,2018-06-07
Camila Lima,Vestuário,1985.98,2661.87,0.07,0.17,2018-06-07
Thiago Barbosa,Acessórios,2573.28,1310.02,0.24,0.4,2018-06-07
Letícia Ribeiro,Acessórios,1659.03,1177.93,0.38,0.44,2018-06-07
Enzo Nascimento,Casa,5173.26,4214.7,0.19,0.26,2018-06-07
Guilherme Santos,Casa,2734.08,2099.5,0.28,0.26,2018-06-07
Vitória Ribeiro,Brinquedo,3681.56,4269.34,0.24,0.28,2018-06-07
Julia Araújo,Esportes,8998.51,5147.84,0.2,0.33,2018-06-07
Lucas Rodrigues,Esportes,820.95,2898.84,0.27,0.34,2018-06-07
Thiago Carvalho,Esportes,5351.44,2981.52,0.45,0.33,2018-06-07
Mateus Barbosa,Eletrônicos,2355.02,2367.42,0.32,0.23,2018-06-07
Camila Carvalho,Casa,3624.53,2080.43,0.15,0.31,2018-06-07
Diego Cardoso,Vestuário,1929.14,3719.81,0.13,0.19,2018-06-07
Jorge Santos,Brinquedo,3411.13,1188.53,0.33,0.24,2018-06-07
Raphael Silva,Papelaria,941.85,266.94,0.58,0.47,2018-06-07
Caroline Reis,Papelaria,882.93,413.02,0.36,0.43,2018-06-07
Letícia Nascimento,Eletrônicos,6469.94,3917.06,0.14,0.18,2018-06-08
Ana Sousa,Eletrônicos,329.11,3191.43,0.32,0.22,2018-06-08
Gustavo Martins,Eletrônicos,1196.47,3391.26,0.1,0.17,2018-06-08
Beatriz Santos,Vestuário,567.93,2158.55,0.2,0.15,2018-06-08
Camila Lima,Vestuário,4286.93,1223.83,0.13,0.2,2018-06-08
Thiago Barbosa,Acessórios,2788.9,1106.89,0.34,0.5,2018-06-08
Letícia Ribeiro,Acessórios,2780.22,508.44,0.24,0.58,2018-06-08
Enzo Nascimento,Casa,4545.12,4412.33,0.42,0.3,2018-06-08
Guilherme Santos,Casa,6456.8,5848.81,0.24,0.24,2018-06-08
Vitória Ribeiro,Brinquedo,3245.37,1691.71,0.18,0.27,2018-06-08
Julia Araújo,Esportes,7131.99,5669.16,0.18,0.3,2018-06-08
Lucas Rodrigues,Esportes,1564.57,5538.89,0.33,0.33,2018-06-08
Thiago Carvalho,Esportes,2499.19,3536.78,0.31,0.34,2018-06-08
Mateus Barbosa,Eletrônicos,6820.6,4676.94,0.14,0.21,2018-06-08
Camila Carvalho,Casa,5264.19,3825.21,0.22,0.3,2018-06-08
Diego Cardoso,Vestuário,4234.87,2832.34,0.2,0.2,2018-06-08
Jorge Santos,Brinquedo,1500.06,2966.85,0.13,0.25,2018-06-08
Raphael Silva,Papelaria,534.18,396.69,0.65,0.5,2018-06-08
Caroline Reis,Papelaria,791.67,368.19,0.45,0.43,2018-06-08
Letícia Nascimento,Eletrônicos,8353.35,4845.57,0.12,0.18,2018-06-09
Ana Sousa,Eletrônicos,6967.43,4259.77,0.09,0.19,2018-06-09
Gustavo Martins,Eletrônicos,7888.72,1734.45,0.22,0.21,2018-06-09
Beatriz Santos,Vestuário,1165.45,3747.7,0.16,0.2,2018-06-09
Camila Lima,Vestuário,5368.36,3941.88,0.27,0.17,2018-06-09
Thiago Barbosa,Acessórios,982.83,735.52,0.78,0.42,2018-06-09
Letícia Ribeiro,Acessórios,1870.46,1197.86,0.66,0.42,2018-06-09
Enzo Nascimento,Casa,6719.02,4502.1,0.39,0.25,2018-06-09
Guilherme Santos,Casa,3945.36,1833.71,0.39,0.3,2018-06-09
